match,time_score
"
                                Paris Saint-Germain vs Metz
                            ","25', 28', 50'"
"
                                Montpellier vs Paris Saint-Germain
                            ",60'
"
                                Strasbourg vs Paris Saint-Germain
                            ","23', 68'"
"
                                Angers vs Paris Saint-Germain
                            ",28'
"
                                Paris Saint-Germain vs Marseille
                            ",45'
"
                                Clermont vs Paris Saint-Germain
                            ","19', 74', 80'"
"
                                Paris Saint-Germain vs Lorient
                            ","28', 67'"
"
                                Paris Saint-Germain vs Bordeaux
                            ",24'
"
                                Paris Saint-Germain vs St Étienne
                            ","42', 47'"
"
                                Paris Saint-Germain vs Rennes
                            ",90'
"
                                Lille vs Paris Saint-Germain
                            ",67'
"
                                Paris Saint-Germain vs Brest
                            ",32'
"
                                Paris Saint-Germain vs Monaco
                            ","12', 45'"
"
                                Paris Saint-Germain vs Nantes
                            ",2'
"
                                Bordeaux vs Paris Saint-Germain
                            ",63'
"
                                Paris Saint-Germain vs Angers
                            ",87'
"
                                Paris Saint-Germain vs Clermont
                            ",55'
"
                                Reims vs Paris Saint-Germain
                            ","16', 63'"
"
                                Brest vs Paris Saint-Germain
                            ",36'
